Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
37,33,48,47,43,42,38,32,31,36,41,40,30,25,26,27,17,12,7,2,1,6,5,10,15,16,11,20,21,22,23,24,29,28,34,39,44,49,46,45,35,13,8,9,3,4,0,19,14,18
0,2,6,1,7,12,13,18,19,14,9,8,3,4,16,11,5,10,15,20,21,27,22,17,23,24,29,34,33,32,31,30,25,26,36,37,28,39,44,38,43,49,48,47,46,45,40,41,42,35
30,31,20,21,22,27,26,16,17,18,23,24,29,34,33,38,42,47,43,39,44,49,48,46,41,36,40,35,25,15,11,12,7,2,1,6,5,10,0,3,4,9,8,13,14,19,28,32,37,45
15,16,20,25,26,27,28,23,24,19,14,9,8,7,2,3,6,5,1,0,10,11,12,17,21,22,18,13,4,29,34,43,48,49,44,39,38,36,42,37,32,33,40,45,46,47,41,31,30,35
36,31,32,33,34,28,27,26,19,18,23,24,29,44,48,49,43,37,42,38,39,41,40,45,46,47,25,30,35,15,16,11,6,5,10,22,21,20,12,17,7,13,3,8,2,1,0,14,9,4
31,26,20,21,16,10,5,2,7,11,0,1,6,12,17,22,23,24,33,28,32,38,43,47,41,46,42,37,36,35,30,25,40,45,49,44,39,34,29,27,13,18,19,14,9,4,3,8,15,48
41,45,46,47,48,49,43,42,37,32,33,39,34,29,24,19,18,17,22,21,15,12,6,7,8,14,9,4,3,2,5,10,16,11,23,28,27,26,31,30,35,36,40,38,44,0,1,13,20,25
21,16,11,10,15,20,25,26,32,37,47,46,40,41,36,30,35,31,28,27,33,38,43,48,49,44,39,34,29,23,22,17,12,13,8,7,1,6,5,0,2,3,4,9,14,18,19,24,45,42
28,27,32,31,30,35,36,42,37,38,44,48,47,46,41,40,45,43,49,33,34,39,14,8,7,2,1,6,11,10,5,0,9,4,13,18,19,23,22,21,16,15,20,25,26,24,29,17,12,3
29,28,27,22,23,18,17,21,26,25,20,16,15,10,11,12,7,2,1,6,5,0,13,8,9,4,3,14,24,19,38,43,42,37,41,36,31,30,35,40,46,47,49,44,39,34,33,32,48,45
38,33,28,27,32,37,36,35,40,41,46,47,42,43,48,49,44,39,34,30,31,26,21,17,16,20,15,11,10,5,2,0,1,6,7,12,8,13,18,23,24,29,19,14,9,4,3,22,25,45
4,3,2,1,0,5,10,11,16,15,20,25,26,30,31,32,38,34,33,27,22,23,28,24,19,14,13,12,7,6,17,21,36,35,40,45,46,47,42,41,37,43,44,39,29,9,8,18,49,48
8,2,1,0,5,6,7,11,17,16,22,27,21,20,25,30,31,26,32,33,38,44,49,48,42,47,46,45,40,35,36,41,37,43,39,34,24,28,23,18,13,12,10,15,14,19,29,4,9,3
49,44,43,38,39,34,33,28,32,31,30,35,40,45,46,41,42,37,36,26,21,16,15,20,25,10,5,6,7,8,3,4,9,14,13,19,24,29,27,22,17,18,23,11,12,1,0,2,47,48
26,21,16,7,8,13,9,4,3,2,1,0,5,6,11,10,15,20,25,30,35,40,31,32,37,33,28,23,17,19,18,24,29,34,43,41,46,47,48,49,44,39,38,42,36,45,27,22,12,14
37,31,32,22,17,18,13,12,11,16,20,15,10,5,6,7,2,3,8,9,4,19,23,29,34,33,39,44,43,41,42,47,46,45,40,38,49,48,35,36,30,25,26,21,27,28,24,14,1,0
45,46,47,48,44,43,33,27,26,21,22,23,31,36,30,25,20,32,37,42,41,40,35,1,7,12,11,6,0,5,10,15,16,17,18,19,14,9,4,3,2,8,13,24,29,28,34,39,38,49
26,27,18,23,24,29,32,31,35,41,42,47,46,45,40,36,37,38,33,34,28,39,49,44,43,48,30,25,20,15,21,16,17,22,13,8,3,2,7,6,5,10,11,12,14,9,4,1,0,19
49,43,38,34,29,28,23,22,27,31,30,36,41,42,37,39,44,48,47,46,45,40,35,32,33,24,14,9,8,7,2,1,6,5,11,16,21,18,17,12,13,19,26,25,20,15,10,0,3,4
25,20,15,10,5,6,1,0,2,7,12,8,9,3,4,14,19,24,29,28,27,32,31,26,22,21,16,17,18,13,23,33,34,39,38,49,44,43,42,41,36,37,30,35,40,45,46,47,48,11
34,39,33,38,44,43,42,41,45,46,47,48,49,37,32,36,31,30,35,40,27,21,16,20,25,26,22,17,12,7,8,13,19,24,23,18,14,9,4,3,2,1,6,11,10,5,0,15,28,29
35,36,37,42,43,38,39,44,49,48,47,46,45,40,41,32,31,25,30,26,27,22,21,16,11,6,1,7,12,15,17,18,23,28,33,34,29,24,19,14,4,3,9,8,13,2,0,10,5,20
2,1,0,5,10,15,16,21,20,25,30,40,41,36,32,33,27,28,17,18,19,14,9,4,3,8,7,12,11,6,26,31,35,45,46,47,42,43,48,49,44,39,34,29,24,23,22,37,38,13
43,37,32,36,41,42,38,33,34,29,24,23,18,13,14,9,3,8,7,6,2,1,0,5,10,11,16,15,20,21,25,30,31,26,27,22,17,12,19,28,39,44,49,48,47,46,35,40,45,4
15,10,5,0,1,6,7,2,9,8,3,4,14,13,18,17,12,11,22,23,24,19,28,29,34,39,38,37,33,32,31,36,41,46,45,40,35,30,25,26,27,21,16,20,42,43,48,47,44,49
13,12,16,15,10,11,6,1,2,7,8,3,4,14,19,18,17,22,23,24,29,33,32,27,26,30,36,41,46,45,40,35,31,25,20,21,28,38,43,48,47,42,37,34,39,44,49,9,5,0
22,27,26,20,15,16,17,18,29,34,33,28,23,24,19,14,9,7,2,3,4,13,8,1,6,11,10,5,0,31,25,30,42,47,46,41,36,35,40,45,37,32,38,43,48,49,44,39,21,12
28,33,34,39,44,43,38,42,31,36,47,48,49,41,46,45,40,35,25,26,21,15,20,16,11,6,5,0,1,2,7,8,14,19,18,24,29,22,23,17,12,13,9,4,3,10,32,27,37,30
40,41,42,37,32,23,18,17,16,21,25,20,15,10,6,12,7,8,13,14,19,24,27,22,28,34,39,44,43,47,46,49,48,38,33,29,30,35,36,31,26,11,5,0,1,2,3,9,4,45
15,20,21,16,10,5,0,1,2,6,7,12,17,18,23,24,19,14,9,8,3,13,27,26,32,46,41,40,35,36,37,42,47,48,43,44,39,34,28,29,33,38,31,25,30,22,11,4,49,45
41,40,46,45,35,30,42,43,48,49,44,39,33,38,37,32,27,22,23,24,19,14,8,9,2,3,4,13,12,7,6,17,16,21,26,20,15,10,5,0,1,11,18,28,29,34,31,36,25,47
16,15,21,20,25,26,31,36,37,42,43,38,41,35,40,45,46,47,48,49,44,34,29,23,27,22,17,11,6,7,12,13,14,18,24,19,9,8,3,4,2,1,0,5,10,30,32,33,28,39
48,49,44,43,42,37,27,21,16,11,6,7,13,17,12,3,9,4,8,14,19,24,29,28,23,18,22,34,33,38,39,41,40,45,46,47,36,35,20,25,26,32,31,30,15,10,5,0,1,2
0,1,11,17,18,22,23,24,19,34,29,28,27,32,31,36,35,41,42,37,30,25,26,21,20,16,15,10,6,12,13,7,8,9,14,4,3,2,5,40,45,47,46,48,43,44,39,38,33,49
5,10,11,12,7,6,1,0,2,8,9,4,3,17,28,23,18,13,14,19,24,29,34,39,44,43,38,37,32,27,21,16,15,20,26,25,30,31,36,40,35,46,47,42,41,45,33,22,49,48
5,0,6,1,2,11,10,16,21,26,33,28,27,22,17,18,19,24,34,29,23,32,31,36,35,40,41,42,37,38,43,44,49,48,47,46,45,30,25,20,15,12,13,7,8,9,4,3,14,39
45,46,41,40,36,38,39,27,28,23,24,29,33,32,31,30,25,26,21,15,8,3,4,9,13,18,19,14,1,0,6,11,12,17,16,20,10,5,7,2,22,44,48,47,49,43,42,37,35,34
5,10,6,1,2,4,3,8,7,12,13,17,16,11,15,20,21,26,27,22,23,18,24,19,14,9,28,29,34,39,44,43,48,47,42,41,40,45,46,30,31,38,33,37,36,35,25,32,49,0
48,43,42,37,38,39,44,49,47,46,41,36,31,27,26,22,23,28,29,34,33,10,15,17,12,13,14,9,3,8,4,2,7,6,1,0,5,11,16,21,20,25,30,35,40,45,32,19,24,18
7,12,13,8,3,4,9,14,19,18,22,24,23,28,27,37,41,42,47,48,49,43,39,34,29,33,32,31,30,25,20,15,16,11,10,5,6,1,0,2,17,21,26,35,36,46,45,40,44,38
38,42,31,30,25,26,21,16,11,15,10,0,5,6,1,7,2,3,4,9,8,14,19,18,13,12,17,22,23,28,33,34,29,24,20,27,32,37,36,41,40,35,45,46,47,43,44,49,48,39
26,31,30,25,20,15,16,21,22,17,10,11,6,1,0,5,2,7,12,8,3,4,9,14,18,13,19,23,27,28,33,34,39,38,37,42,47,36,41,46,45,40,35,44,49,48,43,29,24,32
1,6,11,18,27,32,37,36,42,43,38,44,49,48,46,41,40,45,47,30,25,21,17,23,28,29,34,33,39,22,20,15,16,10,5,0,2,3,4,9,14,19,24,13,12,7,8,31,26,35
2,1,6,7,8,3,4,9,14,19,24,29,34,33,39,44,49,38,31,36,37,32,27,22,23,28,26,21,25,20,16,15,10,5,0,11,12,13,18,17,30,35,40,41,42,43,48,47,46,45
18,13,9,8,3,7,2,12,17,16,10,5,6,11,21,20,25,30,31,32,28,33,37,36,35,40,41,42,43,38,39,44,47,46,45,22,27,26,23,29,34,24,19,14,4,1,0,15,48,49
33,34,39,38,37,41,42,47,48,43,44,49,46,40,36,26,21,20,16,17,12,11,5,0,1,6,7,2,3,4,8,9,14,13,18,19,24,23,28,32,31,30,25,27,22,10,15,29,45,35
47,42,32,37,36,41,40,35,30,31,25,26,21,16,17,12,13,18,23,28,34,33,39,44,49,48,43,38,22,27,29,24,19,14,9,4,3,8,7,6,11,10,1,5,0,2,20,15,46,45
