Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,1,22,3,28,26,48,7,11,2,21,12,27,4,0,46,8,13,17,14,18,6,10,5,43,16,42,32,31,41,37,40,45,35,25,30,36,33,49,15,44,9,47,38,20
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,35,37,40,45,41,46,31,30,36,33,43,49,44,42,47,38,48
0,24,34,9,4,28,45,27,48,37,20,17,11,2,1,35,25,23,47,43,12,13,36,7,14,31,6,10,5,15,16,3,32,18,49,26,40,33,41,30,46,22,39,8,44,42,29,38,21,19
10,24,22,39,3,28,43,27,21,26,20,7,11,1,2,45,33,29,0,47,12,13,31,17,46,18,6,16,5,37,4,25,32,40,15,35,8,41,34,30,36,23,38,49,44,42,9,14,48,19
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,36,44,28,22,9,30,26,43,14,35,2,7,23,3,4,0,6,12,13,17,1,18,38,45,5,41,16,25,32,31,11,37,40,10,15,46,21,39,33,20,49,8,42,47,27,48
19,29,44,34,39,23,28,22,27,21,8,0,24,11,49,35,26,3,4,20,9,12,13,17,14,18,6,10,5,15,40,25,43,31,16,48,46,30,33,2,32,7,42,38,47,45,1,36,41,37
19,29,35,34,39,23,25,22,36,21,1,20,7,11,2,26,8,3,4,0,13,9,12,17,14,18,6,41,5,15,37,28,32,31,40,45,46,30,33,43,49,44,42,47,38,48,24,27,10,16
