Cluster,Solution,Distance,Turning,Elevation
2,91,163947.12544894087,48.866825452845575,27.056261686423866
2,92,155178.33078817572,56.29265824575579,27.010354187400573
2,93,155178.33078817572,56.29265824575579,27.010354187400573
2,94,147598.17944802716,88.2230288645138,26.98710565456809
2,95,153007.69063205452,78.77892738417886,26.967739997623163
2,96,163938.3942995868,52.40016736995284,26.963492914667412
2,97,172646.57986834916,47.38253600897065,27.006191007869617
2,98,174091.34184775004,70.69783024586118,26.91774270596074
2,99,151239.75559517724,81.92663884862804,26.928387644089874
2,100,156014.19500444128,55.80088924137978,26.99927255151315
2,101,167723.04584235355,64.67232479842177,26.940868683149212
2,102,152079.8672203739,60.39444643036211,27.00327177922827
2,103,192785.250331321,43.2868135162746,26.999354107304526
2,104,165902.1742097135,50.48943920878703,27.02967795495522
2,105,147632.9223441207,65.78617206692951,27.020485470237595
2,106,141376.2119782203,72.82486303026586,27.068405565650295
2,107,155776.83680428928,64.41623437120612,26.990869454486344
2,108,150246.22634355773,61.05170819578923,27.03486450235402
2,109,170231.20824086224,63.88576523545021,26.95341107845116
2,110,164386.23681400536,63.97681290512823,26.95146411250615
2,111,194442.0510866876,51.43201755050815,26.93654631251814
2,112,161437.1734279993,50.605890589744654,27.105388325589573
2,113,177807.21277928006,50.03869650478417,26.984586892937912
2,114,169564.78210691872,49.23018441896067,27.008960186741767
3,1,316577.6793597406,33.8904745970981,27.2070453360843
3,2,300831.04255756846,33.9438771423018,27.348675095374546
3,3,190467.16796875364,77.87288895228968,26.86277929938423
3,4,225093.98296423204,71.60511952575997,26.698887125952446
3,5,271444.7059601657,35.82331649083227,27.248954428138667
3,6,285099.249784517,36.7709312773579,27.20143950769188
3,7,271697.799571459,43.453663834479265,27.010663120606814
3,8,304314.58509406605,39.55184808160724,27.079948377609824
3,9,253087.7166647169,40.57978194055955,27.088729254724704
3,10,259537.67012982673,43.35060393719205,27.087075693784108
3,11,295359.99998577614,36.169781874683274,27.205792774178065
3,12,216525.1714404702,69.16653542873345,26.722414216156757
3,13,297915.0520415046,35.93133601848774,27.236748716566197
3,14,253505.1388957054,44.74084896120309,26.99866273126848
3,15,264650.609741417,45.95894485627189,26.95755207284278
3,16,192358.48039803424,68.90294809033327,26.916059857883234
3,17,234180.5722643687,47.45733035268682,26.90052267912958
3,18,197303.9512735636,64.83767287307212,26.989211183483143
3,19,278619.5014409192,39.95624904282704,27.004561690266968
3,20,198755.26695783986,59.36203201712974,26.86416706742095
3,21,315450.4198752697,35.867727772654234,27.147105554071203
3,22,227063.74227283866,49.83371971766467,26.862186773675717
3,23,309609.8600033637,37.316934006201215,27.15832085105177
3,24,204310.890029759,59.87783881451541,26.845332608596266
3,25,280042.2554291031,43.55812259461395,26.9768919874304
3,26,280042.2554291031,43.55812259461395,26.9768919874304
3,27,240746.614007462,46.32531871996425,26.932108514223017
3,28,270607.637133769,45.349683474047175,26.932176678339637
3,29,267145.1954216178,44.705153082596006,26.978850663629593
3,30,274078.79460030515,36.60057911159782,27.24743056906202
3,31,309188.4017632588,38.95308155979087,27.10052362688529
3,32,309188.4017632588,38.95308155979087,27.10052362688529
3,33,219306.32131014357,69.55246174434059,26.711464915826696
3,34,301557.8840369727,38.918567648605645,27.118495070903954
3,35,301557.8840369727,38.918567648605645,27.118495070903954
3,36,275381.0515245029,44.3587391895503,26.938820742718818
3,37,260844.97031958448,45.99206791079888,26.912445796331134
3,38,204834.622210128,68.4759654646489,26.81284509927754
3,39,301106.28349275154,39.10691354603301,27.170599874311968
3,40,209569.8624110694,50.47082298572068,26.978101598910094
3,41,249196.1579107838,45.6913734607781,27.083639976914498
3,42,249196.1579107838,45.6913734607781,27.083639976914498
3,43,302389.98190215137,38.6460497118226,27.181747663243264
3,44,265744.9526951148,39.80426133118521,27.128429924334228
3,45,265744.9526951148,39.80426133118521,27.128429924334228
3,46,206370.9702473257,54.29411564779968,26.945416874659074
3,47,226934.6096980674,48.35762575189479,26.876687051160033
3,48,226934.6096980674,48.35762575189479,26.876687051160033
3,49,276607.942846488,44.294546087491916,26.976817181522648
3,50,276607.942846488,44.294546087491916,26.976817181522648
3,51,314513.5736101846,36.56978779830313,27.204557238129198
