Map,Cluster,Algorithm,Run,Distance,Elevation,Turning
Map1,5,GA,2,1821.747096487065,0.5678554716326669,55.39959613977542
Map1,6,GA,2,2332.3457362882145,0.5880415030644492,71.87674229137157
Map1,7,GA,2,1964.438929538444,0.49680088317673743,47.60449105103667
Map1,8,GA,2,1575.4469592904306,0.5484725118635847,51.94014086152033
Map1,9,GA,2,1889.0624586853785,1.1850784283814253,61.81855940067383
Map1,10,GA,2,1514.893981311778,0.8891683474635101,47.72749589929785
Map1,11,GA,2,2114.8364550078954,0.4033274865935006,75.43505750542955
Map1,12,GA,2,2164.8928633764795,0.5471727575215706,69.37936555271634
Map1,13,GA,2,2552.524213992872,0.7798947840239876,80.33546220625944
Map1,14,GA,2,2173.7061402237428,0.5096994007040649,66.64247684718059
Map1,15,GA,2,2387.2310887117587,0.7058261945460185,80.08310343021556
Map1,1,GA,3,1830.6574839353855,0.4825751594106098,54.37825184128499
Map1,2,GA,3,1997.3627683340073,0.47901688458306957,60.023947461187944
Map1,3,GA,3,2147.6306972222806,0.5191722329020223,76.06905287661236
Map1,4,GA,3,2457.2556424830673,0.7739783448108817,59.384599391357995
Map1,5,GA,3,1807.473624354221,0.5403677702086735,61.50988899483499
Map1,6,GA,3,2400.8406517249255,0.5737117457912291,74.93843027157112
Map1,7,GA,3,1718.8150303508057,0.4313288929932835,55.32325631033277
Map1,8,GA,3,1518.4198316854854,0.7295939112755985,41.68656661443551
Map1,9,GA,3,1932.0040082156183,1.2592276217848646,56.94160216421063
Map1,10,GA,3,1425.1507547419003,0.9947984936679894,50.1846149976694
Map1,11,GA,3,2224.596481943586,0.48075339459728994,65.23749007740355
Map1,12,GA,3,2302.9302938073183,0.5704139985445327,62.355185888473926
Map1,13,GA,3,2633.31011987992,0.6803066075540798,80.6308339031096
Map1,14,GA,3,1948.2242904442182,0.43622128110717995,54.934858423009864
Map1,15,GA,3,2410.9480338017843,0.786827398984121,69.73230078064691
Map1,1,GA,4,2034.4386275615684,0.7187786742436355,55.14819354258728
Map1,2,GA,4,2028.7231585864401,0.46908593169942314,60.78187811262329
Map1,3,GA,4,1946.450791632402,0.5127661238294365,78.34623539836755
Map1,4,GA,4,2541.810938517206,0.928036936499236,72.14571518725936
Map1,5,GA,4,1737.6301452508872,0.5266048506276508,63.34328025315324
Map1,6,GA,4,2125.5492015790587,0.502887754021522,77.4141449396466
Map1,7,GA,4,1773.3259822904552,0.5210052479587315,55.18737526102385
Map1,8,GA,4,1667.4827655539516,0.7156767218123523,45.85549933659613
Map1,9,GA,4,1863.6251894587174,1.3189663754713141,67.00596465169266
Map1,10,GA,4,1556.8437811281028,1.132555947634021,47.45595758263807
Map1,11,GA,4,2350.105537274017,0.47404426403530664,71.24538036539735
Map1,12,GA,4,2055.8253331168503,0.48707922981400564,80.7176177602686
Map1,13,GA,4,2608.4952753091534,0.6890349360378067,79.56156671376236
Map1,14,GA,4,1937.7889764711792,0.44055936520233985,64.7074220227987
Map1,15,GA,4,2257.830610145457,0.624865096000983,69.19801923533605
Map1,1,GA,5,2087.40161150865,0.5895401509280678,53.12453214853237
Map1,2,GA,5,1723.3916175636853,0.38354086062150294,59.29647840748888
Map1,3,GA,5,2039.1386274516685,0.5714536617465882,76.4705917118945
Map1,4,GA,5,2447.4723974747044,0.7744047373151552,71.45670735598597
Map1,5,GA,5,2024.0079476573542,0.561535165282125,58.43647151423652
Map1,6,GA,5,2258.203017181975,0.5886503013084123,81.09999318824201
Map1,7,GA,5,1784.5913764516872,0.4287785070411889,56.450947624996076
Map1,8,GA,5,1726.225217286292,0.6933185272539593,60.09702715058998
Map1,9,GA,5,1900.4061155143265,1.2255610106578292,60.67245268597669
Map1,10,GA,5,1508.8212453468857,1.043207465484329,47.65796304430347
Map1,11,GA,5,2103.6746138896583,0.3961382494459862,71.94587251836307
Map1,12,GA,5,2130.159069830316,0.4752532846703392,64.22668154104447
Map1,13,GA,5,2247.324402570998,0.5892328934807338,69.79699416748784
Map1,14,GA,5,1876.525111557787,0.3678824857516041,63.09227822126018
Map1,15,GA,5,2409.618880606141,0.6536425960934746,68.58563395558804
Map1,1,GA,6,1974.2808195400733,0.5334648756974847,64.62861449079008
Map1,2,GA,6,1922.5241760887359,0.46582929881911106,63.12211974914011
Map1,3,GA,6,2080.37192305841,0.5975952457933715,71.23433901768776
Map1,4,GA,6,2256.180960737613,0.8205573851152366,67.38634489170646
Map1,5,GA,6,1803.9811581363954,0.44385403651940614,59.85989140449564
Map1,6,GA,6,2267.9064891264757,0.5480469622451629,68.04304243500395
Map1,7,GA,6,1568.2070336171737,0.358120179383425,56.60461459567054
Map1,8,GA,6,1566.4752583450743,0.5541498530961615,43.01954451050998
Map1,9,GA,6,2089.600409054033,1.3962229449488088,56.74574184200918
Map1,10,GA,6,1756.5273802920929,1.2331704968208896,49.41548216580804
Map1,11,GA,6,2307.660860250713,0.4869584206940907,70.30853449844615
Map1,12,GA,6,2062.2988003140917,0.43495005940567033,70.94561799063322
Map1,13,GA,6,2683.9161558832957,0.7833206145690284,68.47463181877436
Map1,14,GA,6,2091.4260923270217,0.4731448453411744,66.75295274135026
Map1,15,GA,6,2554.2176667821636,0.7060368597198359,69.3093057877154
Map1,1,GA,7,1780.1068084878505,0.4430170657222501,71.83973624034896
Map1,2,GA,7,1812.494290186826,0.45785586212261187,61.347679829591776
Map1,3,GA,7,2176.8653799717367,0.4943530295858096,73.60027579515811
Map1,4,GA,7,2177.9193917276416,0.6879003177281575,79.30024502431642
Map1,5,GA,7,2047.5988405356754,0.5434611149148747,64.54891250762928
Map1,6,GA,7,2001.61319133735,0.49312053082292806,73.48333233037668
Map1,7,GA,7,1852.6087159028361,0.4494422449522464,53.830258505612
Map1,8,GA,7,1644.5503906915212,0.6594218403120902,50.70298870576456
Map1,9,GA,7,2318.011272500369,1.799556981392394,50.93664366833722
Map1,10,GA,7,1711.569439867143,1.3806350288499196,51.35759652101051
Map1,11,GA,7,2109.3093673555622,0.3844520215300342,65.47185193666525
Map1,12,GA,7,2467.5174967247367,0.5736625954498304,64.28873269621916
Map1,13,GA,7,2451.5079408116676,0.6682484829047404,82.0289063315295
Map1,14,GA,7,2040.3843369313886,0.4985062984728863,61.43157584382469
Map1,15,GA,7,2416.7127820095125,0.7434121437593628,76.12951396456882
Map1,1,GA,8,1822.3877945788724,0.5228086763499942,58.266329517932924
Map1,2,GA,8,1864.4988658474804,0.43232528743893006,65.57444689296273
