Map,Cluster,Algorithm,Distance,Elevation,Turning
Map1,13,GA,1426.06257163,0.410108367076,77.6625565992
Map1,13,NSGAII,1420.40271137,0.37803412638,81.0441142557
Map1,14,ACO,1212.63465892,0.296515677878,60.2886460357
Map1,14,GA,1222.39816934,0.295925595378,65.2311912304
Map1,14,NSGAII,1221.30567245,0.281984602963,65.1191188708
Map1,15,ACO,1393.21523175,0.405015765789,75.1789762541
Map1,15,GA,1400.06611516,0.409729051331,78.7925515794
Map1,15,NSGAII,1403.12590682,0.396297856047,78.9348492373
Map2,1,ACO,1319.29916022,0.607600645306,67.3431853103
Map2,1,GA,1337.30191839,0.612493982396,71.9335001329
Map2,1,NSGAII,1325.08112855,0.587456492999,72.5480076918
Map2,2,ACO,1024.82285659,0.537644858123,45.5257396954
Map2,2,GA,1033.06771566,0.524011302793,50.5232706886
Map2,2,NSGAII,1026.26951089,0.489290430201,48.2805896188
Map2,3,ACO,953.3956967,0.499675639528,41.8705980661
Map2,3,GA,959.220774722,0.472792523151,49.2340131302
Map2,3,NSGAII,965.703823068,0.455518630651,43.7775044856
Map2,4,ACO,1258.90859776,0.734324950915,59.8840951014
Map2,4,GA,1267.52311123,0.750762187541,67.1479298737
Map2,4,NSGAII,1264.51618937,0.699161776918,63.6334154211
Map2,5,ACO,963.001367991,0.649915682916,44.4273222579
Map2,5,GA,961.503968202,0.644466411031,46.1720708281
Map2,5,NSGAII,959.77513392,0.606952369713,50.4375580354
Map2,6,ACO,1092.91679057,0.568811610272,54.7106231212
Map2,6,GA,1099.70682211,0.540194311107,58.1211909335
Map2,6,NSGAII,1104.07572689,0.547634203888,56.4479736778
Map2,7,ACO,1030.01456518,0.493379939215,50.355028988
Map2,7,GA,1045.34552847,0.496548906837,53.0742683754
Map2,7,NSGAII,1056.52080926,0.500967593025,50.5952340814
Map2,8,ACO,869.339011864,0.636387488517,34.958476125
Map2,8,GA,882.261914788,0.637779880537,39.5688132666
Map2,8,NSGAII,898.868420614,0.58177713488,38.8828510924
Map2,9,ACO,887.750176664,0.554369216837,42.8585688957
Map2,9,GA,894.214687437,0.532877838331,45.432881798
Map2,9,NSGAII,906.597474826,0.47409536641,42.8539088968
Map2,10,ACO,1042.84656899,0.641352576566,49.996878173
Map2,10,GA,1042.44651694,0.608028835637,54.122253084
Map2,10,NSGAII,1038.09492895,0.562682982564,55.8862235083
Map2,11,ACO,1182.462049,0.861664513005,59.9105788429
Map2,11,GA,1199.82926701,0.86323466978,65.6517241391
Map2,11,NSGAII,1181.4475182,0.816013399106,64.5857541587
Map2,12,ACO,979.613872415,0.514368838889,52.1404355584
Map2,12,GA,992.521901203,0.501211641652,54.3093101488
Map2,12,NSGAII,985.008690433,0.474558039967,50.5895084125
Map2,13,ACO,1157.15285538,0.64905556105,58.8914042165
Map2,13,GA,1180.52955509,0.641379595445,63.802776237
Map2,13,NSGAII,1194.82266994,0.581259703354,59.7943193528
Map2,14,ACO,912.012057354,0.41138174001,40.0234760444
Map2,14,GA,909.099266563,0.410709947883,45.6105651506
Map2,14,NSGAII,917.019974066,0.371070994054,43.489449233
Map2,15,ACO,1049.34292561,0.459144256898,46.0269070798
Map2,15,GA,1056.12608194,0.448982691844,51.8891009023
Map2,15,NSGAII,1057.0659429,0.416167769116,57.4268722933
Map2,16,ACO,990.270276156,0.755988152053,46.4216908972
Map2,16,GA,999.842799827,0.75442334951,49.778229337
Map2,16,NSGAII,991.927383834,0.681199894875,50.1809461133
Map2,17,ACO,1065.5520587,0.646840736525,49.2059233802
Map2,17,GA,1073.4119459,0.596983532962,53.0510883816
Map2,17,NSGAII,1069.3497641,0.588378201164,54.4372825277
Map2,18,ACO,1281.82596542,0.66569836987,63.8845320241
Map2,18,GA,1282.60676912,0.64031344976,66.3213932996
Map2,18,NSGAII,1293.7952869,0.612415924118,71.0378761699
Map2,19,ACO,1017.39421138,0.485485885828,45.7210846645
Map2,19,GA,1023.73118184,0.478121032126,53.8832910499
Map2,19,NSGAII,1020.30854709,0.455232292974,52.6742880547
Map2,20,ACO,1377.01425679,0.536219402549,71.7522444036
Map2,20,GA,1381.69502416,0.525097963735,76.499057042
Map2,20,NSGAII,1385.13803102,0.508136142952,75.6013603602
