Scope,Metric,Group1,Group2,N_Blocks,Mean_Difference_Group2_minus_Group1,Percent_Difference_Relative_to_Group1,SE_Difference,CI95_Lower_Unadjusted,CI95_Upper_Unadjusted,t_value,DF,p_raw,p_Wilcoxon,Shapiro_Difference_p,p_Holm_All_Scopes,Significant,p_Wilcoxon_Holm_All_Scopes,CI_Family95_Lower_Bonferroni,CI_Family95_Upper_Bonferroni
Map1,Elevation,ACO,NSGAII,15,-0.0323659463318,-7.81885263388,0.00645079690529,-0.0462015296607,-0.0185303630029,-5.01735627504,14,0.000188357893266,0.0001220703125,0.115089978315,0.00263701050572,True,0.0018310546875,-0.057049115323,-0.00768277734054
Map1,Elevation,GA,NSGAII,15,-0.0270400957397,-6.61739157906,0.00646315468425,-0.0409021838684,-0.0131780076109,-4.1837302464,14,0.000919172318913,6.103515625e-05,0.000221128152566,0.0119492401459,True,0.0009765625,-0.0517705502293,-0.00230964125008
Map1,Turning,ACO,GA,15,3.06457407755,4.7734716801,0.55660440324,1.87077636304,4.25837179205,5.50583872443,14,7.74175811417e-05,0.00042724609375,0.703571026314,0.00123868129827,True,0.005126953125,0.934796819302,5.19435133579
Map1,Turning,ACO,NSGAII,15,2.7993151126,4.36029643127,0.825422082289,1.0289608186,4.56966940661,3.39137414987,14,0.00438753404401,0.0042724609375,0.149846722879,0.036539793439,True,0.0379886627197,-0.359059433266,5.95768965847
Map1,Turning,GA,NSGAII,15,-0.265258964942,-0.394351014816,0.636915980375,-1.63130788097,1.10078995109,-0.416474029724,14,0.68337779051,0.890380859375,0.539708966849,1,False,1,-2.70233844638,2.1718205165
Map2,Distance,ACO,GA,20,8.35257149296,0.778615397166,1.52396339696,5.16287944509,11.5422635408,5.48082159298,19,2.7476841151e-05,4.76837158203e-05,0.652646551046,0.000467106299567,True,0.000810623168945,2.84614221181,13.8590007741
Map2,Distance,ACO,NSGAII,20,9.32258170535,0.869038434839,2.47956879948,4.13278456349,14.5123788472,3.75975924012,19,0.00132612310444,0.000167846679688,0.0180788567111,0.0145873541489,True,0.00234985351562,0.363330932461,18.2818324782
Map2,Distance,GA,NSGAII,20,0.970010212395,0.0897244294508,2.12316989647,-3.47383545251,5.4138558773,0.45686886104,19,0.652945516862,0.621513366699,0.776612626234,1,False,1,-6.70148958223,8.64151000702
Map2,Elevation,ACO,GA,20,-0.0114448005407,-1.92199220247,0.00350365523939,-0.0187780352351,-0.00411156584633,-3.26653159594,19,0.00405997704878,0.00422096252441,0.589009429098,0.036539793439,True,0.0379886627197,-0.0241043104999,0.00121470941845
Map2,Elevation,ACO,NSGAII,20,-0.0449670360972,-7.55157701869,0.0047979672298,-0.0550092969214,-0.0349247752729,-9.37210154707,19,1.4802335354e-08,3.81469726562e-06,0.624035105545,3.25651377787e-07,True,7.62939453125e-05,-0.062303192134,-0.0276308800603
Map2,Elevation,GA,NSGAII,20,-0.0335222355564,-5.73990534947,0.00477852595917,-0.0435238053336,-0.0235206657793,-7.01518331027,19,1.11301477881e-06,9.53674316406e-06,0.969092550677,2.22602955762e-05,True,0.000181198120117,-0.0507881458236,-0.0162563252893
